2026-07-22 02:29:50 | INFO     | django.utils.autoreload | Watching for file changes with StatReloader
2026-07-22 02:30:14 | INFO     | django.utils.autoreload | C:\Data\artHQ\Website_django\manage.py changed, reloading.
2026-07-22 02:31:08 | INFO     | django.utils.autoreload | Watching for file changes with StatReloader
2026-07-22 02:31:11 | WARNING  | django.request | Not Found: /favicon.ico
2026-07-22 02:31:14 | INFO     | main.DataLayer.GoogleSheets | Fetching all products from Google Sheets. Status code: 200
2026-07-22 02:34:09 | INFO     | django.utils.autoreload | C:\Data\artHQ\Website_django\main\settings.py changed, reloading.
2026-07-22 02:34:10 | INFO     | django.utils.autoreload | Watching for file changes with StatReloader
2026-07-22 02:34:14 | WARNING  | django.request | Not Found: /favicon.ico
2026-07-22 02:34:17 | INFO     | main.DataLayer.GoogleSheets | Fetching all products from Google Sheets. Status code: 200
2026-07-22 02:35:53 | INFO     | django.utils.autoreload | C:\Data\artHQ\Website_django\main\views.py changed, reloading.
2026-07-22 02:35:53 | INFO     | django.utils.autoreload | Watching for file changes with StatReloader
2026-07-22 02:50:14 | INFO     | django.utils.autoreload | C:\Data\artHQ\Website_django\main\views.py changed, reloading.
2026-07-22 02:50:15 | INFO     | django.utils.autoreload | Watching for file changes with StatReloader
2026-07-22 02:50:23 | INFO     | django.utils.autoreload | C:\Data\artHQ\Website_django\main\views.py changed, reloading.
2026-07-22 02:50:24 | INFO     | django.utils.autoreload | Watching for file changes with StatReloader
2026-07-22 02:52:21 | INFO     | django.utils.autoreload | C:\Data\artHQ\Website_django\main\views.py changed, reloading.
2026-07-22 02:52:22 | INFO     | django.utils.autoreload | Watching for file changes with StatReloader
2026-07-22 02:52:27 | INFO     | django.utils.autoreload | C:\Data\artHQ\Website_django\main\views.py changed, reloading.
2026-07-22 02:52:28 | INFO     | django.utils.autoreload | Watching for file changes with StatReloader
2026-07-22 02:52:30 | INFO     | django.utils.autoreload | C:\Data\artHQ\Website_django\main\views.py changed, reloading.
2026-07-22 02:52:31 | INFO     | django.utils.autoreload | Watching for file changes with StatReloader
2026-07-22 02:52:41 | INFO     | django.utils.autoreload | C:\Data\artHQ\Website_django\main\urls.py changed, reloading.
2026-07-22 02:52:42 | INFO     | django.utils.autoreload | Watching for file changes with StatReloader
